収支区分,管理番号,発生日,決済期日,取引先コード,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,決済日,決済口座,決済金額
支出,,20161130,,5537,未払費用,対象外,17531.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,事務消耗品費,課対仕入10%,6444.0000,内税,515.0000,トイレットペーパー,清掃用品        ,本町不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,515.0000,,0,,,,,,,,,
支出,,20161130,,3126,未払費用,対象外,6959.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,事務消耗品費,課対仕入10%,1584.0000,内税,126.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,食品ｻｰﾋﾞｽ営業部,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,126.0000,,0,,,,,,,,,
支出,,20161130,,,事務消耗品費,課対仕入10%,19231.0000,内税,1540.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,総務部,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,1540.0000,,0,,,,,,,,,
支出,,20161130,,,事務消耗品費,課対仕入10%,624.0000,内税,49.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,府中ﾌｫｰﾘｽ店　レジ,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,49.0000,,0,,,,,,,,,
支出,,20161130,,,事務消耗品費,課対仕入10%,7650.0000,内税,612.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,府中ﾌｫｰﾘｽ店　営業推進,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,612.0000,,0,,,,,,,,,
支出,,20161130,,2321,未払費用,対象外,31416.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,福利厚生費,課対仕入10%,32778.0000,内税,2622.0000,１１月分スパークルⅡ本町食事代,社食・賄費、経費,総務部,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,2622.0000,,0,,,,,,,,,
支出,,20161130,,3280,未払費用,対象外,35400.0000,,0,,エス・ティ・エス,その他部門,,,,,
